,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
0,0.0052480936050415036,0.00614288006331639,0.0015108823776245118,0.0011358985571994352,2,{'model__n_neighbors': 2},-5.956120300292969,-4.901123046875,-10.21993408203125,-4.080462646484375,-1.3914382934570313,-4.189198303222656,-2.3995086669921877,-4.809944152832031,-5.698828125,-5.831912231445313,-4.947846984863282,2.2505162999745454,1,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0022209644317626952,0.001555009887798129,0.0008025407791137695,7.686693747829266e-05,3,{'model__n_neighbors': 3},-5.900926717122405,-4.929217529296875,-10.788079833984375,-2.6881154378255188,-1.678463745117193,-3.993211873372394,-3.172857666015619,-5.030098470052081,-6.8840189615885325,-5.217470804850256,-5.028246103922525,2.421523911235588,3,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0023268938064575197,0.0006174739996917425,0.0010022640228271485,0.0002757484970253044,4,{'model__n_neighbors': 4},-5.819785308837891,-5.326984405517578,-8.49566879272461,-3.1301231384277344,-2.1810096740722655,-3.829174041748047,-3.1602828979492186,-4.8461967468261715,-7.878851318359375,-4.929619598388672,-4.959769592285156,1.9364249103816908,2,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0017885684967041016,0.0005027865241097934,0.015155768394470215,0.009953616897290274,5,{'model__n_neighbors': 5},-6.667048339843751,-5.38955017089844,-8.721737670898426,-3.523898315429693,-2.916355590820314,-3.8054376220703148,-3.504317016601567,-4.319119262695312,-7.876270141601561,-5.302359313964837,-5.202609344482421,1.8810654443326402,4,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012588739395141602,0.00013610332735425784,0.000695037841796875,7.557596689127559e-05,2,{'model__n_neighbors': 2},-7.265940856933594,-7.923298645019531,-5.231999206542969,-2.3546096801757814,-2.7919647216796877,-5.335328674316406,-6.660214233398437,-4.734465026855469,-11.246707153320312,-10.324041748046875,-6.386856994628906,2.769111938921857,3,finbert_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012356996536254882,0.00015334620582965001,0.0007055282592773437,5.252657283282054e-05,3,{'model__n_neighbors': 3},-6.095274861653644,-7.6426971435546935,-4.837041219075519,-1.205304972330731,-3.113262939453125,-3.9376088460286383,-6.805878702799475,-5.826622517903644,-11.279152425130206,-11.557897440592438,-6.230074106852212,3.139198089389921,1,finbert_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011673688888549805,0.0001292523411191764,0.0006626367568969727,5.391803879886828e-05,4,{'model__n_neighbors': 4},-6.409752655029297,-7.448851776123047,-4.916695404052734,-1.6067771911621094,-4.3212944030761715,-4.334712219238281,-6.6338966369628904,-6.035518646240234,-10.530630493164063,-12.155956268310547,-6.439408569335939,2.9193656491185735,4,finbert_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.001116037368774414,8.311772290383369e-05,0.002893829345703125,0.004415126427612129,5,{'model__n_neighbors': 5},-5.845273437499992,-8.052396240234373,-5.194917602539055,-1.0515484619140636,-3.7936328125000047,-3.943302612304694,-6.693983154296882,-6.378560180664062,-10.078738403320324,-12.412693176269528,-6.344504608154297,3.092999970131227,2,finbert_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.001267719268798828,8.73482379523767e-05,0.0007236480712890625,7.488034901591114e-05,2,{'model__n_neighbors': 2},-6.512356567382812,-6.965486145019531,-12.543077087402343,-2.6070541381835937,-1.2303848266601562,-4.525392150878906,-2.2710662841796876,-4.579132080078125,-14.743679809570313,-12.3938232421875,-6.8371452331542955,4.546327226512125,4,finbert_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012520551681518555,0.0001780814506568121,0.000744485855102539,0.00015530869531434158,3,{'model__n_neighbors': 3},-6.372220865885419,-6.318019612630212,-13.967574055989592,-1.6849365234375058,-1.680486043294269,-3.1465067545572936,-1.4851074218750058,-4.814454142252612,-15.095345052083337,-12.61993560791015,-6.718458607991539,5.023137603566272,3,finbert_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
