,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
0,0.0027401208877563476,0.0010627748328344505,0.036982250213623044,0.013370471896715704,2,{'model__n_neighbors': 2},0.4,0.4,0.4,0.6,0.6,0.4,0.2,0.6,0.4,0.6,0.45999999999999996,0.12806248474865697,3,finbert_summary_sentiment_df,5,5,5,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0016021490097045898,0.000172747956332568,0.00142669677734375,0.00019173989153700244,3,{'model__n_neighbors': 3},0.4,0.4,0.4,0.6,0.6,0.4,0.2,0.4,0.4,0.6,0.44000000000000006,0.11999999999999998,4,finbert_summary_sentiment_df,5,5,5,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0013543128967285155,7.027592971460992e-05,0.0012766122817993164,3.6421003501043005e-05,4,{'model__n_neighbors': 4},0.4,0.4,0.4,0.6,0.6,0.4,0.8,0.4,0.4,0.6,0.5,0.1341640786499874,1,finbert_summary_sentiment_df,5,5,5,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0012711048126220702,6.439016255097868e-05,0.0011905431747436523,4.228664535437515e-05,5,{'model__n_neighbors': 5},0.4,0.4,0.4,0.6,0.6,0.4,0.8,0.2,0.4,0.6,0.48,0.15999999999999998,2,finbert_summary_sentiment_df,5,5,5,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012946367263793946,8.529852094010557e-05,0.0012131929397583008,0.0001092814776023183,2,{'model__n_neighbors': 2},0.4,0.6,0.6,0.8,0.6,0.4,0.8,0.2,0.4,0.6,0.54,0.18,3,finbert_summary_sentiment_df,5,5,10,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012574434280395509,6.911873035133483e-05,0.0011858463287353516,4.236930927714837e-05,3,{'model__n_neighbors': 3},0.6,0.6,0.6,0.4,0.4,0.4,0.6,0.2,0.4,0.6,0.48,0.13266499161421597,4,finbert_summary_sentiment_df,5,5,10,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.001128411293029785,8.571872096977102e-05,0.001114201545715332,0.00010028958149871328,4,{'model__n_neighbors': 4},0.4,0.6,0.6,0.8,0.6,0.4,0.8,0.8,0.4,0.6,0.6,0.15491933384829668,1,finbert_summary_sentiment_df,5,5,10,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0011496305465698241,0.00011718778609030417,0.001089763641357422,7.942637196509956e-05,5,{'model__n_neighbors': 5},0.6,0.6,0.4,0.4,0.6,0.4,0.8,0.8,0.6,0.6,0.5799999999999998,0.13999999999999999,2,finbert_summary_sentiment_df,5,5,10,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012506008148193359,0.00011018355157517946,0.0011681556701660157,9.242293681849567e-05,2,{'model__n_neighbors': 2},0.4,0.6,0.6,0.2,0.6,0.4,0.8,0.8,0.6,0.6,0.5599999999999999,0.17435595774162693,2,finbert_summary_sentiment_df,5,5,15,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012711048126220702,6.328315381431258e-05,0.0011928796768188477,4.5545568627534204e-05,3,{'model__n_neighbors': 3},0.4,0.6,0.6,0.2,0.6,0.4,0.8,0.6,0.6,0.4,0.52,0.16,3,finbert_summary_sentiment_df,5,5,15,accuracy,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
