,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,param_model__p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
0,0.0052361726760864254,0.003615162556098623,0.03894062042236328,0.011517992638916341,2,1,"{'model__n_neighbors': 2, 'model__p': 1}",-9.093321228027344,-6.79891357421875,-8.635464477539063,-3.523234558105469,-13.017527770996093,-3.4383697509765625,-7.515348815917969,-6.097090148925782,-9.255384826660157,-11.383753967285156,-7.875840911865235,2.929075607582338,4,finbert_summary_sentiment_df,5,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0014968156814575196,0.0003099006007846941,0.0008389711380004883,0.00010295677565351658,3,1,"{'model__n_neighbors': 3, 'model__p': 1}",-9.42482401529947,-7.248076375325519,-8.667522176106768,-2.263712565104157,-12.180947875976562,-3.595953369140619,-7.314397176106769,-5.7623931884765565,-9.012718709309905,-11.545975748697918,-7.701652119954424,3.0167599832608896,3,finbert_summary_sentiment_df,5,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0013599395751953125,0.00020897654348358557,0.000835871696472168,0.00012456281057636616,4,1,"{'model__n_neighbors': 4, 'model__p': 1}",-9.106706237792968,-7.703186798095703,-8.904167938232423,-2.297649383544922,-10.635900115966797,-3.5649993896484373,-7.056005859375,-5.199761199951172,-9.813552856445312,-12.023859405517578,-7.630578918457031,2.968376327569044,2,finbert_summary_sentiment_df,5,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.001227259635925293,0.0001170102059214134,0.0007216930389404297,3.894157150143137e-05,5,1,"{'model__n_neighbors': 5, 'model__p': 1}",-8.406188964843755,-7.695451049804694,-8.628524780273432,-1.0974456787109375,-9.955575561523442,-3.5734405517578125,-6.628442382812489,-5.0373779296875,-10.146267700195306,-12.613308715820319,-7.37820233154297,3.231064873904377,1,finbert_summary_sentiment_df,5,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012005329132080077,0.00013230504962948592,0.0007050514221191406,4.1590178674750044e-05,2,1,"{'model__n_neighbors': 2, 'model__p': 1}",-3.863006591796875,-9.295587158203125,-4.289060974121094,-1.0124099731445313,-1.6517440795898437,-9.219627380371094,-6.100070190429688,-9.765882873535157,-11.67772979736328,-13.80809326171875,-7.068321228027344,4.104705271043487,2,finbert_summary_sentiment_df,5,5,10,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012533903121948243,5.9909465508500445e-05,0.0007648229598999024,4.2784737155699555e-05,3,1,"{'model__n_neighbors': 3, 'model__p': 1}",-4.731587727864581,-9.474393717447914,-4.184620157877606,-1.1742574055989565,-1.2482594807942688,-8.421450805664062,-6.329163614908856,-9.521233113606769,-12.36434834798177,-13.686595662434906,-7.113591003417969,4.103674009831757,3,finbert_summary_sentiment_df,5,5,10,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.001083517074584961,8.951683922748808e-05,0.0006681203842163086,3.111157830769804e-05,4,1,"{'model__n_neighbors': 4, 'model__p': 1}",-4.570458984375,-9.42101593017578,-4.386228942871094,-1.0817695617675782,-3.2392242431640623,-7.175182342529297,-6.390078735351563,-9.262841796875,-12.479724884033203,-14.487429809570312,-7.249395523071288,3.984404938276519,4,finbert_summary_sentiment_df,5,5,10,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0011777639389038085,0.00012694997718022273,0.000880122184753418,0.00024561423900251777,5,1,"{'model__n_neighbors': 5, 'model__p': 1}",-4.8842803955078065,-9.000705566406253,-4.2839038085937435,-1.148609008789066,-1.5768310546875,-6.157675170898443,-6.403982543945313,-8.835278320312488,-12.976809692382812,-14.820144653320307,-7.008822021484375,4.25223401668483,1,finbert_summary_sentiment_df,5,5,10,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0014629840850830078,0.00010371185171167543,0.0007778882980346679,2.8045981196287387e-05,2,1,"{'model__n_neighbors': 2, 'model__p': 1}",-2.3330657958984373,-5.930329895019531,-2.763652038574219,-5.970013427734375,-1.0822845458984376,-2.752665710449219,-6.389085388183593,-9.01702880859375,-17.66161651611328,-17.011074829101563,-7.091081695556641,5.596798542440452,3,finbert_summary_sentiment_df,5,5,15,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.001193857192993164,0.00010251855849221683,0.0007362842559814453,7.021990188407377e-05,3,1,"{'model__n_neighbors': 3, 'model__p': 1}",-2.252086385091144,-7.1092681884765625,-2.9649332682291685,-7.029290771484369,-1.55660400390625,-2.8450256347656193,-5.590908813476562,-8.543282063802081,-17.250110880533857,-17.477870686848956,-7.261938069661457,5.5160067605778975,4,finbert_summary_sentiment_df,5,5,15,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
