,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
0,0.001641249656677246,0.0012342511964963533,0.0004860401153564453,2.9314085442656427e-05,{},-4.971660572725244,-11.129374241011647,-13.810161375951612,-16.759617812193028,-11.989201192217298,-3.753684961595809,-6.626747109045664,-7.414210099865113,-9.577398330751112,-5.071676280598149,-9.110373197595468,4.054140747981592,1,finbert_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012220382690429688,0.0001354529032676857,0.0004866600036621094,1.789594693803069e-05,{},-23.422313022004893,-5.966954911135138,-13.928304938540805,-5.737552661115478,-10.7995319521302,-11.040157831201213,-4.949491870671045,-7.679082426648438,-6.721927554628292,-5.690760140049042,-9.593607730812455,5.387979280978766,1,finbert_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011084794998168946,8.831173823944435e-05,0.0004580497741699219,1.4235326287164132e-05,{},-2.75818854912377,-20.524056682874107,-14.512203826709447,-2.102924914002597,-2.060822391322881,-15.709922938552518,-5.057122712509885,-23.954279987804284,-11.674435866055683,-13.881566627685242,-11.223552449664043,7.507400324676281,1,finbert_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012702703475952148,0.0001611614171566571,0.000485992431640625,2.6243204224532724e-05,{},-11.668310982910771,-7.4985376538446875,-14.302099920870479,-7.69338513651569,-4.19782973055153,-4.313951261898728,-4.951402225783295,-11.72390005226298,-2.934194163110078,-77.00395391744459,-14.628756504519282,21.101012291216403,1,finbert_tone_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012064218521118165,0.00010888263275238447,0.00048129558563232423,2.2536811767401358e-05,{},-15.726524403244548,-18.74266758497979,-8.550318881326529,-5.44784981743951,-6.458976149983892,-4.927684056740327,-8.247076484285753,-8.83984927948336,-38.15578680814251,-6.9766140012682625,-12.207334746689448,9.632771258558966,1,finbert_tone_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012368440628051757,0.00012762264157368644,0.0005079507827758789,5.422198858801048e-05,{},-3.5540011730125114,-7.718858895320591,-13.238527138105928,-3.9464323848947513,-2.9121466593566767,-18.83654612813698,-10.168722107944632,-11.019515430273895,-16.498652154699084,-15.92691853407796,-10.3820320605823,5.469732114204161,1,finbert_tone_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011962413787841796,0.0001661942089363569,0.0004779815673828125,2.479181812052901e-05,{},-3.944706948610201,-21.582186716720436,-12.573846662752839,-6.802870355609957,-3.7884382746990015,-5.551504387886053,-4.039816014022472,-10.241805255766758,-2.553430038349961,-15.888755045425933,-8.696735969984362,5.956162285832037,1,finbert_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.001282048225402832,8.680741886788022e-05,0.00048580169677734373,1.7276120189652334e-05,{},-2.845504732164045,-7.058219105913622,-10.774004005387088,-5.58241085075515,-5.624364937212522,-4.956329040509081,-9.068347900159916,-6.184191946608598,-7.257945928441222,-4.58725513876243,-6.393857358591367,2.1619953539797363,1,finbert_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011874914169311523,0.0001336617189265603,0.00047953128814697265,2.6843443953437408e-05,{},-1.647240023195036,-4.862850120089024,-20.812439554433602,-4.30692954333058,-1.6272077923484176,-3.2008528641579685,-2.797307584561577,-12.60044192204541,-17.616703171911105,-11.47254413750179,-8.09445167135745,6.665758358418939,1,finbert_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011461734771728515,0.0001183572935777901,0.0004693269729614258,1.9690617906422907e-05,{},-5.519468653215716,-7.073314834911253,-16.256822616684257,-4.548684995417955,-4.907156964483488,-4.069444313674057,-4.221607537644013,-4.683420444301737,-3.4939369852651,-4.0178333895560625,-5.879169073515364,3.5856992115219706,1,finbert_tone_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
